,Customer_ID,CustomerFirstDatePurchase,Gender,AgeGroup,TotalTrans,Type1Last1,Type1Last2,Type1Last3,Type1Last4,Tenure,Type1Last5_pred
31813,889132AZ,2021-12-01 00:00:00,Female,50-64,0.106951871657754,ActivityA,ActivityE,ActivityE,ActivityA,3.30275229357798,ActivityB
31814,889137AZ,2021-12-01 00:00:00,Female,50-64,0,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityF
31815,889154AZ,2021-12-01 00:00:00,Female,40-49,0,ActivityA,ActivityA,ActivityD,ActivityD,3.30275229357798,ActivityD
31816,889163AZ,2021-12-01 00:00:00,Female,30-39,0.668449197860963,ActivityE,ActivityE,ActivityF,ActivityB,3.30275229357798,ActivityB
31817,889180AZ,2021-12-01 00:00:00,Male,50-64,0.240641711229946,ActivityA,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityA
31818,889196AZ,2021-12-01 00:00:00,Male,50-64,0.160427807486631,ActivityD,ActivityB,ActivityB,ActivityB,3.30275229357798,ActivityB
31819,889227AZ,2021-12-01 00:00:00,Male,>64,0.0267379679144385,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityF
31820,889237AZ,2021-12-01 00:00:00,Male,19-29,0,ActivityA,ActivityD,ActivityD,ActivityA,3.30275229357798,ActivityD
31821,889256AZ,2021-12-01 00:00:00,Male,19-29,0,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityF
31822,889260AZ,2021-12-01 00:00:00,Female,19-29,0.0267379679144385,ActivityD,ActivityD,ActivityC,ActivityA,3.30275229357798,ActivityD
31823,889263AZ,2021-12-01 00:00:00,Male,30-39,0.454545454545455,ActivityB,ActivityB,ActivityB,ActivityD,3.30275229357798,ActivityB
31824,889294AZ,2021-12-01 00:00:00,Male,40-49,0,ActivityE,ActivityE,ActivityE,ActivityE,3.30275229357798,ActivityA
31825,889338AZ,2021-12-01 00:00:00,Female,19-29,0.0267379679144385,ActivityD,ActivityD,ActivityC,ActivityD,3.30275229357798,ActivityD
31826,889354AZ,2021-12-01 00:00:00,Female,19-29,0,ActivityF,ActivityF,ActivityB,ActivityB,3.30275229357798,ActivityB
31827,889362AZ,2021-12-01 00:00:00,Female,50-64,0.240641711229946,ActivityE,ActivityA,ActivityC,ActivityC,3.30275229357798,ActivityC
